name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thoai Son,2021-12-24,29.1,23.9,26,33,23.9,27.4,23.2,85.1,0.5,100,4.17,rain,,,,16.6,82.8,1010.9,59.6,11.1,182.4,15.8,8,,2021-12-24T06:12:47,2021-12-24T17:44:12,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-12-25,31,23,26.2,35.4,23,27.7,22.6,82.3,0.5,100,4.17,rain,,,,22.3,74.6,1011.6,50.6,11.8,239.7,20.8,8,,2021-12-25T06:13:16,2021-12-25T17:44:43,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-12-26,31,22,26.4,35.5,22,28.3,23.2,83.6,0,0,0,,,,,13,41.9,1012.5,42.1,11.5,213.5,18.3,8,,2021-12-26T06:13:44,2021-12-26T17:45:14,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-27,30.5,23,26.4,35.3,23,27.9,23.8,87.1,0.5,100,20.83,rain,,,,11.2,79.2,1012.9,60.2,11.4,219.5,18.9,8,,2021-12-27T06:14:12,2021-12-27T17:45:46,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-28,30,23,26.3,35.1,23,27.9,24,88.2,4,100,4.17,rain,,,,11.2,61.6,1012.3,61.5,11.3,240,20.7,9,,2021-12-28T06:14:39,2021-12-28T17:46:18,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-12-29,30,23,26.2,35.1,23,27.7,23.6,86.5,0.6,100,8.33,rain,,,,11.2,58.1,1012.1,58.6,11.3,216.4,18.6,8,,2021-12-29T06:15:05,2021-12-29T17:46:50,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-30,29.5,23,25.7,32.3,23,26.6,21.4,78,0.5,100,4.17,rain,,,,17.4,29.6,1013,56.2,11.3,224.4,19.5,8,,2021-12-30T06:15:31,2021-12-30T17:47:22,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-31,29.3,21,25.4,31.1,21,26.1,20.1,73.5,0,0,0,,,,,14.8,41.2,1013,39.6,11.7,243,21.2,9,,2021-12-31T06:15:56,2021-12-31T17:47:54,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-01,30,21,25.6,32.6,21,26.5,20.9,75.8,0,0,0,,,,,9.4,45.8,1012.9,44,11.9,250.1,21.6,9,,2022-01-01T06:16:21,2022-01-01T17:48:26,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-02,30,24,26.6,34.1,24,28.1,22.3,77.7,0,0,0,,,,,10.1,29.6,1012.2,39.1,11.7,247.7,21.5,9,,2022-01-02T06:16:45,2022-01-02T17:48:59,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
